year,cbsa,cbsaname,race,education,indicator,value,topmetro,metrosize,overallrank,sizerank
2018-2019,34620,"Muncie, IN",Total,Total,Percentage-Point Change in Employment Rate,-0.038323,0,,,
2009-2019,34660,"Murray, KY",Total,Total,Percentage-Point Change in Employment Rate,0.040626999,0,,,
2014-2019,34660,"Murray, KY",Total,Total,Percentage-Point Change in Employment Rate,0.025137,0,,,
2018-2019,34660,"Murray, KY",Total,Total,Percentage-Point Change in Employment Rate,0.010174,0,,,
2009-2019,34700,"Muscatine, IA",Total,Total,Percentage-Point Change in Employment Rate,0.061804999,0,,,
2014-2019,34700,"Muscatine, IA",Total,Total,Percentage-Point Change in Employment Rate,0.023441,0,,,
2018-2019,34700,"Muscatine, IA",Total,Total,Percentage-Point Change in Employment Rate,0.026612001,0,,,
2009-2019,34740,"Muskegon, MI",Total,Total,Percentage-Point Change in Employment Rate,0.088133,0,,,
2014-2019,34740,"Muskegon, MI",Total,Total,Percentage-Point Change in Employment Rate,0.058807001,0,,,
2018-2019,34740,"Muskegon, MI",Total,Total,Percentage-Point Change in Employment Rate,-0.009332,0,,,
2009-2019,34780,"Muskogee, OK",Total,Total,Percentage-Point Change in Employment Rate,0.036456,0,,,
2014-2019,34780,"Muskogee, OK",Total,Total,Percentage-Point Change in Employment Rate,0.026315,0,,,
2018-2019,34780,"Muskogee, OK",Total,Total,Percentage-Point Change in Employment Rate,0.002801,0,,,
2009-2019,34820,"Myrtle Beach-Conway-North Myrtle Beach, SC-NC",Total,Total,Percentage-Point Change in Employment Rate,0.035339002,1,Midsized,106,46
2014-2019,34820,"Myrtle Beach-Conway-North Myrtle Beach, SC-NC",Total,Total,Percentage-Point Change in Employment Rate,0.020543,1,Midsized,153,59
2018-2019,34820,"Myrtle Beach-Conway-North Myrtle Beach, SC-NC",Total,Total,Percentage-Point Change in Employment Rate,0.020741001,1,Midsized,31,21
2009-2019,34860,"Nacogdoches, TX",Total,Total,Percentage-Point Change in Employment Rate,0.060295001,0,,,
2014-2019,34860,"Nacogdoches, TX",Total,Total,Percentage-Point Change in Employment Rate,0.058965001,0,,,
2018-2019,34860,"Nacogdoches, TX",Total,Total,Percentage-Point Change in Employment Rate,0.100185998,0,,,
2009-2019,34900,"Napa, CA",Total,Total,Percentage-Point Change in Employment Rate,0.050932001,0,,,
2014-2019,34900,"Napa, CA",Total,Total,Percentage-Point Change in Employment Rate,0.046806,0,,,
2018-2019,34900,"Napa, CA",Total,Total,Percentage-Point Change in Employment Rate,0.016686,0,,,
2009-2019,34940,"Naples-Marco Island, FL",Total,Total,Percentage-Point Change in Employment Rate,0.059562001,1,Midsized,30,17
2014-2019,34940,"Naples-Marco Island, FL",Total,Total,Percentage-Point Change in Employment Rate,0.033946,1,Midsized,95,39
2018-2019,34940,"Naples-Marco Island, FL",Total,Total,Percentage-Point Change in Employment Rate,0.010309,1,Midsized,77,38
2009-2019,34980,"Nashville-Davidson--Murfreesboro--Franklin, TN",Total,Total,Percentage-Point Change in Employment Rate,0.061949,1,Very Large,26,5
2014-2019,34980,"Nashville-Davidson--Murfreesboro--Franklin, TN",Total,Total,Percentage-Point Change in Employment Rate,0.046491999,1,Very Large,35,8
2018-2019,34980,"Nashville-Davidson--Murfreesboro--Franklin, TN",Total,Total,Percentage-Point Change in Employment Rate,0.01054,1,Very Large,75,23
2009-2019,35020,"Natchez, MS-LA",Total,Total,Percentage-Point Change in Employment Rate,-0.028214,0,,,
2014-2019,35020,"Natchez, MS-LA",Total,Total,Percentage-Point Change in Employment Rate,0.034793001,0,,,
2018-2019,35020,"Natchez, MS-LA",Total,Total,Percentage-Point Change in Employment Rate,0.023488,0,,,
2009-2019,35060,"Natchitoches, LA",Total,Total,Percentage-Point Change in Employment Rate,-0.000319,0,,,
2014-2019,35060,"Natchitoches, LA",Total,Total,Percentage-Point Change in Employment Rate,0.056598999,0,,,
2018-2019,35060,"Natchitoches, LA",Total,Total,Percentage-Point Change in Employment Rate,0.060228001,0,,,
2009-2019,35100,"New Bern, NC",Total,Total,Percentage-Point Change in Employment Rate,0.0504,0,,,
2014-2019,35100,"New Bern, NC",Total,Total,Percentage-Point Change in Employment Rate,0.009184,0,,,
2018-2019,35100,"New Bern, NC",Total,Total,Percentage-Point Change in Employment Rate,0.053539999,0,,,
2009-2019,35220,"New Castle, IN",Total,Total,Percentage-Point Change in Employment Rate,-0.00628,0,,,
2014-2019,35220,"New Castle, IN",Total,Total,Percentage-Point Change in Employment Rate,0.004767,0,,,
2018-2019,35220,"New Castle, IN",Total,Total,Percentage-Point Change in Employment Rate,-0.009296,0,,,
2009-2019,35260,"New Castle, PA",Total,Total,Percentage-Point Change in Employment Rate,0.00194,0,,,
2014-2019,35260,"New Castle, PA",Total,Total,Percentage-Point Change in Employment Rate,-0.005611,0,,,
2018-2019,35260,"New Castle, PA",Total,Total,Percentage-Point Change in Employment Rate,-0.000304,0,,,
2009-2019,35300,"New Haven-Milford, CT",Total,Total,Percentage-Point Change in Employment Rate,0.00687,1,Large,173,55
2014-2019,35300,"New Haven-Milford, CT",Total,Total,Percentage-Point Change in Employment Rate,0.026931999,1,Large,122,33
2018-2019,35300,"New Haven-Milford, CT",Total,Total,Percentage-Point Change in Employment Rate,0.00101,1,Large,136,31
2009-2019,35380,"New Orleans-Metairie, LA",Total,Total,Percentage-Point Change in Employment Rate,0.020880001,1,Very Large,145,52
2014-2019,35380,"New Orleans-Metairie, LA",Total,Total,Percentage-Point Change in Employment Rate,0.025729001,1,Very Large,129,46
2018-2019,35380,"New Orleans-Metairie, LA",Total,Total,Percentage-Point Change in Employment Rate,0.021407001,1,Very Large,30,3
2009-2019,35420,"New Philadelphia-Dover, OH",Total,Total,Percentage-Point Change in Employment Rate,0.043246999,0,,,
2014-2019,35420,"New Philadelphia-Dover, OH",Total,Total,Percentage-Point Change in Employment Rate,-0.052951001,0,,,
2018-2019,35420,"New Philadelphia-Dover, OH",Total,Total,Percentage-Point Change in Employment Rate,-0.031668,0,,,
2009-2019,35580,"New Ulm, MN",Total,Total,Percentage-Point Change in Employment Rate,0.042118002,0,,,
2014-2019,35580,"New Ulm, MN",Total,Total,Percentage-Point Change in Employment Rate,0.00807,0,,,
2018-2019,35580,"New Ulm, MN",Total,Total,Percentage-Point Change in Employment Rate,0.044881001,0,,,
2009-2019,35620,"New York-Newark-Jersey City, NY-NJ-PA",Total,Total,Percentage-Point Change in Employment Rate,0.051268,1,Very Large,51,17
2014-2019,35620,"New York-Newark-Jersey City, NY-NJ-PA",Total,Total,Percentage-Point Change in Employment Rate,0.039969001,1,Very Large,60,20
2018-2019,35620,"New York-Newark-Jersey City, NY-NJ-PA",Total,Total,Percentage-Point Change in Employment Rate,0.012385,1,Very Large,65,17
2009-2019,35140,"Newberry, SC",Total,Total,Percentage-Point Change in Employment Rate,0.046278,0,,,
2014-2019,35140,"Newberry, SC",Total,Total,Percentage-Point Change in Employment Rate,0.086845003,0,,,
2018-2019,35140,"Newberry, SC",Total,Total,Percentage-Point Change in Employment Rate,-0.006253,0,,,
2009-2019,35440,"Newport, OR",Total,Total,Percentage-Point Change in Employment Rate,0.025884001,0,,,
2014-2019,35440,"Newport, OR",Total,Total,Percentage-Point Change in Employment Rate,-0.004201,0,,,
2018-2019,35440,"Newport, OR",Total,Total,Percentage-Point Change in Employment Rate,-0.013569,0,,,
2009-2019,35460,"Newport, TN",Total,Total,Percentage-Point Change in Employment Rate,0.027843,0,,,
2014-2019,35460,"Newport, TN",Total,Total,Percentage-Point Change in Employment Rate,0.018565999,0,,,
2018-2019,35460,"Newport, TN",Total,Total,Percentage-Point Change in Employment Rate,0.031612001,0,,,
2009-2019,35660,"Niles, MI",Total,Total,Percentage-Point Change in Employment Rate,0.059361,0,,,
2014-2019,35660,"Niles, MI",Total,Total,Percentage-Point Change in Employment Rate,0.034968998,0,,,
2018-2019,35660,"Niles, MI",Total,Total,Percentage-Point Change in Employment Rate,-0.01227,0,,,
2009-2019,35700,"Nogales, AZ",Total,Total,Percentage-Point Change in Employment Rate,0.028137,0,,,
2014-2019,35700,"Nogales, AZ",Total,Total,Percentage-Point Change in Employment Rate,0.035682,0,,,
2018-2019,35700,"Nogales, AZ",Total,Total,Percentage-Point Change in Employment Rate,0.040075,0,,,
2009-2019,3,Non-Metropolitan Areas,Total,Total,Percentage-Point Change in Employment Rate,0.025102001,0,,,
2014-2019,3,Non-Metropolitan Areas,Total,Total,Percentage-Point Change in Employment Rate,0.030422,0,,,
2018-2019,3,Non-Metropolitan Areas,Total,Total,Percentage-Point Change in Employment Rate,0.009156,0,,,
2009-2019,35740,"Norfolk, NE",Total,Total,Percentage-Point Change in Employment Rate,0.042422,0,,,
2014-2019,35740,"Norfolk, NE",Total,Total,Percentage-Point Change in Employment Rate,0.001625,0,,,
2018-2019,35740,"Norfolk, NE",Total,Total,Percentage-Point Change in Employment Rate,0.004335,0,,,
2009-2019,35820,"North Platte, NE",Total,Total,Percentage-Point Change in Employment Rate,0.030637,0,,,
2014-2019,35820,"North Platte, NE",Total,Total,Percentage-Point Change in Employment Rate,-0.00968,0,,,
2018-2019,35820,"North Platte, NE",Total,Total,Percentage-Point Change in Employment Rate,-0.001178,0,,,
2009-2019,35840,"North Port-Sarasota-Bradenton, FL",Total,Total,Percentage-Point Change in Employment Rate,0.047247998,1,Large,67,14
2014-2019,35840,"North Port-Sarasota-Bradenton, FL",Total,Total,Percentage-Point Change in Employment Rate,0.014124,1,Large,165,49
2018-2019,35840,"North Port-Sarasota-Bradenton, FL",Total,Total,Percentage-Point Change in Employment Rate,-0.012281,1,Large,177,48
2009-2019,35860,"North Vernon, IN",Total,Total,Percentage-Point Change in Employment Rate,0.075736001,0,,,
2014-2019,35860,"North Vernon, IN",Total,Total,Percentage-Point Change in Employment Rate,0.051387999,0,,,
2018-2019,35860,"North Vernon, IN",Total,Total,Percentage-Point Change in Employment Rate,0.026761999,0,,,
2009-2019,35900,"North Wilkesboro, NC",Total,Total,Percentage-Point Change in Employment Rate,0.048168998,0,,,
2014-2019,35900,"North Wilkesboro, NC",Total,Total,Percentage-Point Change in Employment Rate,0.063244998,0,,,
2018-2019,35900,"North Wilkesboro, NC",Total,Total,Percentage-Point Change in Employment Rate,0.015742,0,,,
2009-2019,35940,"Norwalk, OH",Total,Total,Percentage-Point Change in Employment Rate,0.039067,0,,,
2014-2019,35940,"Norwalk, OH",Total,Total,Percentage-Point Change in Employment Rate,0.055362001,0,,,
2018-2019,35940,"Norwalk, OH",Total,Total,Percentage-Point Change in Employment Rate,0.020912999,0,,,
2009-2019,35980,"Norwich-New London, CT",Total,Total,Percentage-Point Change in Employment Rate,0.042658001,1,Midsized,77,37
2014-2019,35980,"Norwich-New London, CT",Total,Total,Percentage-Point Change in Employment Rate,0.016083,1,Midsized,162,63
2018-2019,35980,"Norwich-New London, CT",Total,Total,Percentage-Point Change in Employment Rate,0.033817999,1,Midsized,11,10
2009-2019,36020,"Oak Harbor, WA",Total,Total,Percentage-Point Change in Employment Rate,0.060120001,0,,,
2014-2019,36020,"Oak Harbor, WA",Total,Total,Percentage-Point Change in Employment Rate,0.059928,0,,,
2018-2019,36020,"Oak Harbor, WA",Total,Total,Percentage-Point Change in Employment Rate,0.025150999,0,,,
2009-2019,36100,"Ocala, FL",Total,Total,Percentage-Point Change in Employment Rate,0.005544,1,Midsized,175,67
2014-2019,36100,"Ocala, FL",Total,Total,Percentage-Point Change in Employment Rate,0.019362001,1,Midsized,156,61
2018-2019,36100,"Ocala, FL",Total,Total,Percentage-Point Change in Employment Rate,0.042300999,1,Midsized,7,7
2009-2019,36140,"Ocean City, NJ",Total,Total,Percentage-Point Change in Employment Rate,0.077388003,0,,,
2014-2019,36140,"Ocean City, NJ",Total,Total,Percentage-Point Change in Employment Rate,0.070244998,0,,,
2018-2019,36140,"Ocean City, NJ",Total,Total,Percentage-Point Change in Employment Rate,0.017887,0,,,
2009-2019,36220,"Odessa, TX",Total,Total,Percentage-Point Change in Employment Rate,0.026489999,0,,,
2014-2019,36220,"Odessa, TX",Total,Total,Percentage-Point Change in Employment Rate,0.039356001,0,,,
2018-2019,36220,"Odessa, TX",Total,Total,Percentage-Point Change in Employment Rate,0.018522,0,,,
2009-2019,36260,"Ogden-Clearfield, UT",Total,Total,Percentage-Point Change in Employment Rate,0.074267998,1,Large,12,4
2014-2019,36260,"Ogden-Clearfield, UT",Total,Total,Percentage-Point Change in Employment Rate,0.052046999,1,Large,27,7
2018-2019,36260,"Ogden-Clearfield, UT",Total,Total,Percentage-Point Change in Employment Rate,0.029742001,1,Large,16,3
2009-2019,36300,"Ogdensburg-Massena, NY",Total,Total,Percentage-Point Change in Employment Rate,-0.028175,0,,,
2014-2019,36300,"Ogdensburg-Massena, NY",Total,Total,Percentage-Point Change in Employment Rate,-0.007063,0,,,
2018-2019,36300,"Ogdensburg-Massena, NY",Total,Total,Percentage-Point Change in Employment Rate,-0.033144001,0,,,
2009-2019,36340,"Oil City, PA",Total,Total,Percentage-Point Change in Employment Rate,0.081161,0,,,
2014-2019,36340,"Oil City, PA",Total,Total,Percentage-Point Change in Employment Rate,0.012822,0,,,
2018-2019,36340,"Oil City, PA",Total,Total,Percentage-Point Change in Employment Rate,-0.012076,0,,,
2009-2019,36380,"Okeechobee, FL",Total,Total,Percentage-Point Change in Employment Rate,0.011039,0,,,
2014-2019,36380,"Okeechobee, FL",Total,Total,Percentage-Point Change in Employment Rate,0.093792997,0,,,
2018-2019,36380,"Okeechobee, FL",Total,Total,Percentage-Point Change in Employment Rate,0.011324,0,,,
2009-2019,36420,"Oklahoma City, OK",Total,Total,Percentage-Point Change in Employment Rate,0.019477,1,Very Large,149,53
2014-2019,36420,"Oklahoma City, OK",Total,Total,Percentage-Point Change in Employment Rate,0.024220999,1,Very Large,133,48
2018-2019,36420,"Oklahoma City, OK",Total,Total,Percentage-Point Change in Employment Rate,-0.006982,1,Very Large,165,53
2009-2019,36460,"Olean, NY",Total,Total,Percentage-Point Change in Employment Rate,-0.025741,0,,,
2014-2019,36460,"Olean, NY",Total,Total,Percentage-Point Change in Employment Rate,0.019417999,0,,,
2018-2019,36460,"Olean, NY",Total,Total,Percentage-Point Change in Employment Rate,-0.017743001,0,,,
2009-2019,36500,"Olympia-Lacey-Tumwater, WA",Total,Total,Percentage-Point Change in Employment Rate,0.020532999,1,Midsized,146,54
2014-2019,36500,"Olympia-Lacey-Tumwater, WA",Total,Total,Percentage-Point Change in Employment Rate,0.007417,1,Midsized,179,72
2018-2019,36500,"Olympia-Lacey-Tumwater, WA",Total,Total,Percentage-Point Change in Employment Rate,-0.002665,1,Midsized,152,65
2009-2019,36540,"Omaha-Council Bluffs, NE-IA",Total,Total,Percentage-Point Change in Employment Rate,0.015222,1,Large,156,47
2014-2019,36540,"Omaha-Council Bluffs, NE-IA",Total,Total,Percentage-Point Change in Employment Rate,0.013454,1,Large,166,50
2018-2019,36540,"Omaha-Council Bluffs, NE-IA",Total,Total,Percentage-Point Change in Employment Rate,0.003352,1,Large,123,26
2009-2019,36580,"Oneonta, NY",Total,Total,Percentage-Point Change in Employment Rate,-0.026726,0,,,
2014-2019,36580,"Oneonta, NY",Total,Total,Percentage-Point Change in Employment Rate,0.00494,0,,,
2018-2019,36580,"Oneonta, NY",Total,Total,Percentage-Point Change in Employment Rate,-0.03864,0,,,
2009-2019,36620,"Ontario, OR-ID",Total,Total,Percentage-Point Change in Employment Rate,0.070661999,0,,,
2014-2019,36620,"Ontario, OR-ID",Total,Total,Percentage-Point Change in Employment Rate,0.089579001,0,,,
2018-2019,36620,"Ontario, OR-ID",Total,Total,Percentage-Point Change in Employment Rate,0.063778996,0,,,
2009-2019,36660,"Opelousas, LA",Total,Total,Percentage-Point Change in Employment Rate,0.024908001,0,,,
2014-2019,36660,"Opelousas, LA",Total,Total,Percentage-Point Change in Employment Rate,0.113330998,0,,,
2018-2019,36660,"Opelousas, LA",Total,Total,Percentage-Point Change in Employment Rate,0.060017001,0,,,
2009-2019,36700,"Orangeburg, SC",Total,Total,Percentage-Point Change in Employment Rate,-0.002097,0,,,
2014-2019,36700,"Orangeburg, SC",Total,Total,Percentage-Point Change in Employment Rate,0.046551999,0,,,
2018-2019,36700,"Orangeburg, SC",Total,Total,Percentage-Point Change in Employment Rate,-0.025636001,0,,,
2009-2019,36740,"Orlando-Kissimmee-Sanford, FL",Total,Total,Percentage-Point Change in Employment Rate,0.042633001,1,Very Large,78,27
2014-2019,36740,"Orlando-Kissimmee-Sanford, FL",Total,Total,Percentage-Point Change in Employment Rate,0.044906002,1,Very Large,39,10
2018-2019,36740,"Orlando-Kissimmee-Sanford, FL",Total,Total,Percentage-Point Change in Employment Rate,0.009209,1,Very Large,81,25
2009-2019,36780,"Oshkosh-Neenah, WI",Total,Total,Percentage-Point Change in Employment Rate,-0.001439,0,,,
2014-2019,36780,"Oshkosh-Neenah, WI",Total,Total,Percentage-Point Change in Employment Rate,-0.014987,0,,,
2018-2019,36780,"Oshkosh-Neenah, WI",Total,Total,Percentage-Point Change in Employment Rate,-0.027473999,0,,,
2009-2019,36820,"Oskaloosa, IA",Total,Total,Percentage-Point Change in Employment Rate,0.043343,0,,,
2014-2019,36820,"Oskaloosa, IA",Total,Total,Percentage-Point Change in Employment Rate,0.078953996,0,,,
2018-2019,36820,"Oskaloosa, IA",Total,Total,Percentage-Point Change in Employment Rate,0.037569001,0,,,
2009-2019,36830,"Othello, WA",Total,Total,Percentage-Point Change in Employment Rate,0.019367,0,,,
2014-2019,36830,"Othello, WA",Total,Total,Percentage-Point Change in Employment Rate,0.022748001,0,,,
2018-2019,36830,"Othello, WA",Total,Total,Percentage-Point Change in Employment Rate,0.042879,0,,,
2009-2019,2,Other Metropolitan Areas,Total,Total,Percentage-Point Change in Employment Rate,0.030187,0,,,
2014-2019,2,Other Metropolitan Areas,Total,Total,Percentage-Point Change in Employment Rate,0.030624,0,,,
2018-2019,2,Other Metropolitan Areas,Total,Total,Percentage-Point Change in Employment Rate,0.008106,0,,,
2009-2019,36837,"Ottawa, IL",Total,Total,Percentage-Point Change in Employment Rate,0.02201,0,,,
2014-2019,36837,"Ottawa, IL",Total,Total,Percentage-Point Change in Employment Rate,0.052948002,0,,,
