year,cbsa,cbsaname,race,education,indicator,value,topmetro,metrosize
2017,10540,"Albany-Lebanon, OR",Total,Total,Relative Income Poverty Rate,0.308742613,0,
2018,10540,"Albany-Lebanon, OR",Total,Total,Relative Income Poverty Rate,0.301583052,0,
2019,10540,"Albany-Lebanon, OR",Total,Total,Relative Income Poverty Rate,0.277379662,0,
2009,10580,"Albany-Schenectady-Troy, NY",Total,Total,Relative Income Poverty Rate,0.289470077,1,Large
2010,10580,"Albany-Schenectady-Troy, NY",Total,Total,Relative Income Poverty Rate,0.291451931,1,Large
2011,10580,"Albany-Schenectady-Troy, NY",Total,Total,Relative Income Poverty Rate,0.288201451,1,Large
2012,10580,"Albany-Schenectady-Troy, NY",Total,Total,Relative Income Poverty Rate,0.286034912,1,Large
2013,10580,"Albany-Schenectady-Troy, NY",Total,Total,Relative Income Poverty Rate,0.283350557,1,Large
2014,10580,"Albany-Schenectady-Troy, NY",Total,Total,Relative Income Poverty Rate,0.289391518,1,Large
2015,10580,"Albany-Schenectady-Troy, NY",Total,Total,Relative Income Poverty Rate,0.286421597,1,Large
2016,10580,"Albany-Schenectady-Troy, NY",Total,Total,Relative Income Poverty Rate,0.291756213,1,Large
2017,10580,"Albany-Schenectady-Troy, NY",Total,Total,Relative Income Poverty Rate,0.268871188,1,Large
2018,10580,"Albany-Schenectady-Troy, NY",Total,Total,Relative Income Poverty Rate,0.276270419,1,Large
2019,10580,"Albany-Schenectady-Troy, NY",Total,Total,Relative Income Poverty Rate,0.277806878,1,Large
2009,10620,"Albemarle, NC",Total,Total,Relative Income Poverty Rate,0.280589283,0,
2010,10620,"Albemarle, NC",Total,Total,Relative Income Poverty Rate,0.254896641,0,
2011,10620,"Albemarle, NC",Total,Total,Relative Income Poverty Rate,0.271739572,0,
2012,10620,"Albemarle, NC",Total,Total,Relative Income Poverty Rate,0.230277017,0,
2013,10620,"Albemarle, NC",Total,Total,Relative Income Poverty Rate,0.284158766,0,
2014,10620,"Albemarle, NC",Total,Total,Relative Income Poverty Rate,0.25734067,0,
2015,10620,"Albemarle, NC",Total,Total,Relative Income Poverty Rate,0.258125603,0,
2016,10620,"Albemarle, NC",Total,Total,Relative Income Poverty Rate,0.281968534,0,
2017,10620,"Albemarle, NC",Total,Total,Relative Income Poverty Rate,0.28482464,0,
2018,10620,"Albemarle, NC",Total,Total,Relative Income Poverty Rate,0.234312102,0,
2019,10620,"Albemarle, NC",Total,Total,Relative Income Poverty Rate,0.281538695,0,
2009,10660,"Albert Lea, MN",Total,Total,Relative Income Poverty Rate,0.264004886,0,
2010,10660,"Albert Lea, MN",Total,Total,Relative Income Poverty Rate,0.285565674,0,
2011,10660,"Albert Lea, MN",Total,Total,Relative Income Poverty Rate,0.25315991,0,
2012,10660,"Albert Lea, MN",Total,Total,Relative Income Poverty Rate,0.289538354,0,
2013,10660,"Albert Lea, MN",Total,Total,Relative Income Poverty Rate,0.268817216,0,
2014,10660,"Albert Lea, MN",Total,Total,Relative Income Poverty Rate,0.236416087,0,
2015,10660,"Albert Lea, MN",Total,Total,Relative Income Poverty Rate,0.263161212,0,
2016,10660,"Albert Lea, MN",Total,Total,Relative Income Poverty Rate,0.246091455,0,
2017,10660,"Albert Lea, MN",Total,Total,Relative Income Poverty Rate,0.256140798,0,
2018,10660,"Albert Lea, MN",Total,Total,Relative Income Poverty Rate,0.234648719,0,
2019,10660,"Albert Lea, MN",Total,Total,Relative Income Poverty Rate,0.250968933,0,
2009,10700,"Albertville, AL",Total,Total,Relative Income Poverty Rate,0.246151879,0,
2010,10700,"Albertville, AL",Total,Total,Relative Income Poverty Rate,0.256966561,0,
2011,10700,"Albertville, AL",Total,Total,Relative Income Poverty Rate,0.254259408,0,
2012,10700,"Albertville, AL",Total,Total,Relative Income Poverty Rate,0.257514387,0,
2013,10700,"Albertville, AL",Total,Total,Relative Income Poverty Rate,0.201610655,0,
2014,10700,"Albertville, AL",Total,Total,Relative Income Poverty Rate,0.234050676,0,
2015,10700,"Albertville, AL",Total,Total,Relative Income Poverty Rate,0.237628028,0,
2016,10700,"Albertville, AL",Total,Total,Relative Income Poverty Rate,0.283656657,0,
2017,10700,"Albertville, AL",Total,Total,Relative Income Poverty Rate,0.242556095,0,
2018,10700,"Albertville, AL",Total,Total,Relative Income Poverty Rate,0.246931136,0,
2019,10700,"Albertville, AL",Total,Total,Relative Income Poverty Rate,0.274731219,0,
2009,10740,"Albuquerque, NM",Total,Total,Relative Income Poverty Rate,0.247707114,1,Large
2010,10740,"Albuquerque, NM",Total,Total,Relative Income Poverty Rate,0.263667524,1,Large
2011,10740,"Albuquerque, NM",Total,Total,Relative Income Poverty Rate,0.279167801,1,Large
2012,10740,"Albuquerque, NM",Total,Total,Relative Income Poverty Rate,0.263096392,1,Large
2013,10740,"Albuquerque, NM",Total,Total,Relative Income Poverty Rate,0.273332655,1,Large
2014,10740,"Albuquerque, NM",Total,Total,Relative Income Poverty Rate,0.260665894,1,Large
2015,10740,"Albuquerque, NM",Total,Total,Relative Income Poverty Rate,0.245035738,1,Large
2016,10740,"Albuquerque, NM",Total,Total,Relative Income Poverty Rate,0.255642295,1,Large
2017,10740,"Albuquerque, NM",Total,Total,Relative Income Poverty Rate,0.255505502,1,Large
2018,10740,"Albuquerque, NM",Total,Total,Relative Income Poverty Rate,0.244653404,1,Large
2019,10740,"Albuquerque, NM",Total,Total,Relative Income Poverty Rate,0.272508591,1,Large
2009,10760,"Alexander City, AL",Total,Total,Relative Income Poverty Rate,0.250365973,0,
2010,10760,"Alexander City, AL",Total,Total,Relative Income Poverty Rate,0.265091389,0,
2011,10760,"Alexander City, AL",Total,Total,Relative Income Poverty Rate,0.24993892,0,
2012,10760,"Alexander City, AL",Total,Total,Relative Income Poverty Rate,0.241451532,0,
2013,10760,"Alexander City, AL",Total,Total,Relative Income Poverty Rate,0.21797961,0,
2014,10760,"Alexander City, AL",Total,Total,Relative Income Poverty Rate,0.205671027,0,
2015,10760,"Alexander City, AL",Total,Total,Relative Income Poverty Rate,0.248271033,0,
2016,10760,"Alexander City, AL",Total,Total,Relative Income Poverty Rate,0.280139685,0,
2017,10760,"Alexander City, AL",Total,Total,Relative Income Poverty Rate,0.203134447,0,
2018,10760,"Alexander City, AL",Total,Total,Relative Income Poverty Rate,0.245495275,0,
2019,10760,"Alexander City, AL",Total,Total,Relative Income Poverty Rate,0.234331101,0,
2009,10780,"Alexandria, LA",Total,Total,Relative Income Poverty Rate,0.246410131,0,
2010,10780,"Alexandria, LA",Total,Total,Relative Income Poverty Rate,0.248053282,0,
2011,10780,"Alexandria, LA",Total,Total,Relative Income Poverty Rate,0.254954815,0,
2012,10780,"Alexandria, LA",Total,Total,Relative Income Poverty Rate,0.235223249,0,
2013,10780,"Alexandria, LA",Total,Total,Relative Income Poverty Rate,0.257492721,0,
2014,10780,"Alexandria, LA",Total,Total,Relative Income Poverty Rate,0.243521124,0,
2015,10780,"Alexandria, LA",Total,Total,Relative Income Poverty Rate,0.248012528,0,
2016,10780,"Alexandria, LA",Total,Total,Relative Income Poverty Rate,0.268490255,0,
2017,10780,"Alexandria, LA",Total,Total,Relative Income Poverty Rate,0.256133407,0,
2018,10780,"Alexandria, LA",Total,Total,Relative Income Poverty Rate,0.216840237,0,
2019,10780,"Alexandria, LA",Total,Total,Relative Income Poverty Rate,0.28233397,0,
2009,10820,"Alexandria, MN",Total,Total,Relative Income Poverty Rate,0.270180941,0,
2010,10820,"Alexandria, MN",Total,Total,Relative Income Poverty Rate,0.289000064,0,
2011,10820,"Alexandria, MN",Total,Total,Relative Income Poverty Rate,0.293492973,0,
2012,10820,"Alexandria, MN",Total,Total,Relative Income Poverty Rate,0.259866357,0,
2013,10820,"Alexandria, MN",Total,Total,Relative Income Poverty Rate,0.285046011,0,
2014,10820,"Alexandria, MN",Total,Total,Relative Income Poverty Rate,0.28987819,0,
2015,10820,"Alexandria, MN",Total,Total,Relative Income Poverty Rate,0.268090993,0,
2016,10820,"Alexandria, MN",Total,Total,Relative Income Poverty Rate,0.270682186,0,
2017,10820,"Alexandria, MN",Total,Total,Relative Income Poverty Rate,0.259183884,0,
2018,10820,"Alexandria, MN",Total,Total,Relative Income Poverty Rate,0.285873204,0,
2019,10820,"Alexandria, MN",Total,Total,Relative Income Poverty Rate,0.27109468,0,
2009,10860,"Alice, TX",Total,Total,Relative Income Poverty Rate,0.293071926,0,
2010,10860,"Alice, TX",Total,Total,Relative Income Poverty Rate,0.247311324,0,
2011,10860,"Alice, TX",Total,Total,Relative Income Poverty Rate,0.275381267,0,
2012,10860,"Alice, TX",Total,Total,Relative Income Poverty Rate,0.248029575,0,
2013,10860,"Alice, TX",Total,Total,Relative Income Poverty Rate,0.283352733,0,
2014,10860,"Alice, TX",Total,Total,Relative Income Poverty Rate,0.320539862,0,
2015,10860,"Alice, TX",Total,Total,Relative Income Poverty Rate,0.282084107,0,
2016,10860,"Alice, TX",Total,Total,Relative Income Poverty Rate,0.29259935,0,
2017,10860,"Alice, TX",Total,Total,Relative Income Poverty Rate,0.294563562,0,
2018,10860,"Alice, TX",Total,Total,Relative Income Poverty Rate,0.245446831,0,
2019,10860,"Alice, TX",Total,Total,Relative Income Poverty Rate,0.279587567,0,
2009,10900,"Allentown-Bethlehem-Easton, PA-NJ",Total,Total,Relative Income Poverty Rate,0.260490149,1,Large
2010,10900,"Allentown-Bethlehem-Easton, PA-NJ",Total,Total,Relative Income Poverty Rate,0.263960063,1,Large
2011,10900,"Allentown-Bethlehem-Easton, PA-NJ",Total,Total,Relative Income Poverty Rate,0.307746619,1,Large
2012,10900,"Allentown-Bethlehem-Easton, PA-NJ",Total,Total,Relative Income Poverty Rate,0.289114952,1,Large
2013,10900,"Allentown-Bethlehem-Easton, PA-NJ",Total,Total,Relative Income Poverty Rate,0.27312845,1,Large
2014,10900,"Allentown-Bethlehem-Easton, PA-NJ",Total,Total,Relative Income Poverty Rate,0.283096403,1,Large
2015,10900,"Allentown-Bethlehem-Easton, PA-NJ",Total,Total,Relative Income Poverty Rate,0.269429773,1,Large
2016,10900,"Allentown-Bethlehem-Easton, PA-NJ",Total,Total,Relative Income Poverty Rate,0.278387249,1,Large
2017,10900,"Allentown-Bethlehem-Easton, PA-NJ",Total,Total,Relative Income Poverty Rate,0.273692101,1,Large
2018,10900,"Allentown-Bethlehem-Easton, PA-NJ",Total,Total,Relative Income Poverty Rate,0.264483869,1,Large
2019,10900,"Allentown-Bethlehem-Easton, PA-NJ",Total,Total,Relative Income Poverty Rate,0.266074628,1,Large
2009,10940,"Alma, MI",Total,Total,Relative Income Poverty Rate,0.33961615,0,
2010,10940,"Alma, MI",Total,Total,Relative Income Poverty Rate,0.354779124,0,
2011,10940,"Alma, MI",Total,Total,Relative Income Poverty Rate,0.338199884,0,
2012,10940,"Alma, MI",Total,Total,Relative Income Poverty Rate,0.333186001,0,
2013,10940,"Alma, MI",Total,Total,Relative Income Poverty Rate,0.332650483,0,
2014,10940,"Alma, MI",Total,Total,Relative Income Poverty Rate,0.336993039,0,
2015,10940,"Alma, MI",Total,Total,Relative Income Poverty Rate,0.303402185,0,
2016,10940,"Alma, MI",Total,Total,Relative Income Poverty Rate,0.318064839,0,
2017,10940,"Alma, MI",Total,Total,Relative Income Poverty Rate,0.32775107,0,
2018,10940,"Alma, MI",Total,Total,Relative Income Poverty Rate,0.29909423,0,
2019,10940,"Alma, MI",Total,Total,Relative Income Poverty Rate,0.317673028,0,
2009,10980,"Alpena, MI",Total,Total,Relative Income Poverty Rate,0.270081222,0,
2010,10980,"Alpena, MI",Total,Total,Relative Income Poverty Rate,0.307040215,0,
2011,10980,"Alpena, MI",Total,Total,Relative Income Poverty Rate,0.292875558,0,
2012,10980,"Alpena, MI",Total,Total,Relative Income Poverty Rate,0.252345443,0,
2013,10980,"Alpena, MI",Total,Total,Relative Income Poverty Rate,0.214674816,0,
2014,10980,"Alpena, MI",Total,Total,Relative Income Poverty Rate,0.285147399,0,
2015,10980,"Alpena, MI",Total,Total,Relative Income Poverty Rate,0.266526133,0,
2016,10980,"Alpena, MI",Total,Total,Relative Income Poverty Rate,0.271903336,0,
2017,10980,"Alpena, MI",Total,Total,Relative Income Poverty Rate,0.276162803,0,
2018,10980,"Alpena, MI",Total,Total,Relative Income Poverty Rate,0.266472042,0,
2019,10980,"Alpena, MI",Total,Total,Relative Income Poverty Rate,0.299893349,0,
2009,11020,"Altoona, PA",Total,Total,Relative Income Poverty Rate,0.251629055,0,
2010,11020,"Altoona, PA",Total,Total,Relative Income Poverty Rate,0.268251956,0,
2011,11020,"Altoona, PA",Total,Total,Relative Income Poverty Rate,0.2480551,0,
2012,11020,"Altoona, PA",Total,Total,Relative Income Poverty Rate,0.30136025,0,
2013,11020,"Altoona, PA",Total,Total,Relative Income Poverty Rate,0.284429967,0,
2014,11020,"Altoona, PA",Total,Total,Relative Income Poverty Rate,0.253101081,0,
2015,11020,"Altoona, PA",Total,Total,Relative Income Poverty Rate,0.296676338,0,
2016,11020,"Altoona, PA",Total,Total,Relative Income Poverty Rate,0.274938881,0,
2017,11020,"Altoona, PA",Total,Total,Relative Income Poverty Rate,0.264356971,0,
2018,11020,"Altoona, PA",Total,Total,Relative Income Poverty Rate,0.283422112,0,
2019,11020,"Altoona, PA",Total,Total,Relative Income Poverty Rate,0.243425712,0,
2009,11060,"Altus, OK",Total,Total,Relative Income Poverty Rate,0.229874328,0,
2010,11060,"Altus, OK",Total,Total,Relative Income Poverty Rate,0.258460015,0,
2011,11060,"Altus, OK",Total,Total,Relative Income Poverty Rate,0.254929334,0,
2012,11060,"Altus, OK",Total,Total,Relative Income Poverty Rate,0.272034734,0,
2013,11060,"Altus, OK",Total,Total,Relative Income Poverty Rate,0.212552696,0,
2014,11060,"Altus, OK",Total,Total,Relative Income Poverty Rate,0.278306037,0,
2015,11060,"Altus, OK",Total,Total,Relative Income Poverty Rate,0.279065907,0,
2016,11060,"Altus, OK",Total,Total,Relative Income Poverty Rate,0.274353683,0,
2017,11060,"Altus, OK",Total,Total,Relative Income Poverty Rate,0.279824078,0,
2018,11060,"Altus, OK",Total,Total,Relative Income Poverty Rate,0.315793961,0,
2019,11060,"Altus, OK",Total,Total,Relative Income Poverty Rate,0.272323579,0,
2009,11100,"Amarillo, TX",Total,Total,Relative Income Poverty Rate,0.257139474,1,Midsized
2010,11100,"Amarillo, TX",Total,Total,Relative Income Poverty Rate,0.251055598,1,Midsized
2011,11100,"Amarillo, TX",Total,Total,Relative Income Poverty Rate,0.247850507,1,Midsized
2012,11100,"Amarillo, TX",Total,Total,Relative Income Poverty Rate,0.256198078,1,Midsized
2013,11100,"Amarillo, TX",Total,Total,Relative Income Poverty Rate,0.272374481,1,Midsized
2014,11100,"Amarillo, TX",Total,Total,Relative Income Poverty Rate,0.265272349,1,Midsized
2015,11100,"Amarillo, TX",Total,Total,Relative Income Poverty Rate,0.253685236,1,Midsized
2016,11100,"Amarillo, TX",Total,Total,Relative Income Poverty Rate,0.234218955,1,Midsized
2017,11100,"Amarillo, TX",Total,Total,Relative Income Poverty Rate,0.235594854,1,Midsized
2018,11100,"Amarillo, TX",Total,Total,Relative Income Poverty Rate,0.252126575,1,Midsized
2019,11100,"Amarillo, TX",Total,Total,Relative Income Poverty Rate,0.217804611,1,Midsized
2009,11140,"Americus, GA",Total,Total,Relative Income Poverty Rate,0.283163756,0,
2010,11140,"Americus, GA",Total,Total,Relative Income Poverty Rate,0.227619484,0,
2011,11140,"Americus, GA",Total,Total,Relative Income Poverty Rate,0.262292862,0,
2012,11140,"Americus, GA",Total,Total,Relative Income Poverty Rate,0.271415949,0,
2013,11140,"Americus, GA",Total,Total,Relative Income Poverty Rate,0.279514253,0,
2014,11140,"Americus, GA",Total,Total,Relative Income Poverty Rate,0.26396364,0,
2015,11140,"Americus, GA",Total,Total,Relative Income Poverty Rate,0.272072196,0,
2016,11140,"Americus, GA",Total,Total,Relative Income Poverty Rate,0.263111532,0,
2017,11140,"Americus, GA",Total,Total,Relative Income Poverty Rate,0.25930208,0,
2018,11140,"Americus, GA",Total,Total,Relative Income Poverty Rate,0.280892015,0,
2019,11140,"Americus, GA",Total,Total,Relative Income Poverty Rate,0.274699271,0,
2009,11180,"Ames, IA",Total,Total,Relative Income Poverty Rate,0.357341707,0,
2010,11180,"Ames, IA",Total,Total,Relative Income Poverty Rate,0.344958723,0,
2011,11180,"Ames, IA",Total,Total,Relative Income Poverty Rate,0.325154483,0,
2012,11180,"Ames, IA",Total,Total,Relative Income Poverty Rate,0.365184247,0,
2013,11180,"Ames, IA",Total,Total,Relative Income Poverty Rate,0.327491313,0,
2014,11180,"Ames, IA",Total,Total,Relative Income Poverty Rate,0.343793333,0,
2015,11180,"Ames, IA",Total,Total,Relative Income Poverty Rate,0.348955333,0,
2016,11180,"Ames, IA",Total,Total,Relative Income Poverty Rate,0.347288519,0,
2017,11180,"Ames, IA",Total,Total,Relative Income Poverty Rate,0.372142047,0,
2018,11180,"Ames, IA",Total,Total,Relative Income Poverty Rate,0.326156348,0,
2019,11180,"Ames, IA",Total,Total,Relative Income Poverty Rate,0.336549968,0,
2009,11220,"Amsterdam, NY",Total,Total,Relative Income Poverty Rate,0.266345561,0,
2010,11220,"Amsterdam, NY",Total,Total,Relative Income Poverty Rate,0.244751334,0,
2011,11220,"Amsterdam, NY",Total,Total,Relative Income Poverty Rate,0.255748898,0,
2012,11220,"Amsterdam, NY",Total,Total,Relative Income Poverty Rate,0.289382458,0,
2013,11220,"Amsterdam, NY",Total,Total,Relative Income Poverty Rate,0.286016285,0,
2014,11220,"Amsterdam, NY",Total,Total,Relative Income Poverty Rate,0.243085355,0,
2015,11220,"Amsterdam, NY",Total,Total,Relative Income Poverty Rate,0.258736402,0,
2016,11220,"Amsterdam, NY",Total,Total,Relative Income Poverty Rate,0.238550425,0,
2017,11220,"Amsterdam, NY",Total,Total,Relative Income Poverty Rate,0.235584155,0,
2018,11220,"Amsterdam, NY",Total,Total,Relative Income Poverty Rate,0.242306501,0,
2019,11220,"Amsterdam, NY",Total,Total,Relative Income Poverty Rate,0.231229529,0,
2009,11260,"Anchorage, AK",Total,Total,Relative Income Poverty Rate,0.267894119,1,Midsized
2010,11260,"Anchorage, AK",Total,Total,Relative Income Poverty Rate,0.265148371,1,Midsized
2011,11260,"Anchorage, AK",Total,Total,Relative Income Poverty Rate,0.24409467,1,Midsized
2012,11260,"Anchorage, AK",Total,Total,Relative Income Poverty Rate,0.277019978,1,Midsized
2013,11260,"Anchorage, AK",Total,Total,Relative Income Poverty Rate,0.236864418,1,Midsized
2014,11260,"Anchorage, AK",Total,Total,Relative Income Poverty Rate,0.254566818,1,Midsized
2015,11260,"Anchorage, AK",Total,Total,Relative Income Poverty Rate,0.254019201,1,Midsized
2016,11260,"Anchorage, AK",Total,Total,Relative Income Poverty Rate,0.232042506,1,Midsized
2017,11260,"Anchorage, AK",Total,Total,Relative Income Poverty Rate,0.247844398,1,Midsized
2018,11260,"Anchorage, AK",Total,Total,Relative Income Poverty Rate,0.245285362,1,Midsized
2019,11260,"Anchorage, AK",Total,Total,Relative Income Poverty Rate,0.249126375,1,Midsized
2009,11380,"Andrews, TX",Total,Total,Relative Income Poverty Rate,0.249214113,0,
2010,11380,"Andrews, TX",Total,Total,Relative Income Poverty Rate,0.280999839,0,
2011,11380,"Andrews, TX",Total,Total,Relative Income Poverty Rate,0.292660832,0,
2012,11380,"Andrews, TX",Total,Total,Relative Income Poverty Rate,0.25283587,0,
2013,11380,"Andrews, TX",Total,Total,Relative Income Poverty Rate,0.310074329,0,
2014,11380,"Andrews, TX",Total,Total,Relative Income Poverty Rate,0.278336495,0,
2015,11380,"Andrews, TX",Total,Total,Relative Income Poverty Rate,0.22358346,0,
2016,11380,"Andrews, TX",Total,Total,Relative Income Poverty Rate,0.257935494,0,
2017,11380,"Andrews, TX",Total,Total,Relative Income Poverty Rate,0.279778779,0,
2018,11380,"Andrews, TX",Total,Total,Relative Income Poverty Rate,0.223880604,0,
2019,11380,"Andrews, TX",Total,Total,Relative Income Poverty Rate,0.243539736,0,
2009,11420,"Angola, IN",Total,Total,Relative Income Poverty Rate,0.283719271,0,
